"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"ASV184"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Microlunatus"
"ASV185"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Devosiaceae"	"Devosia"
"ASV186"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV187"	"Bacteria"	"Chloroflexi"	"JG30-KF-CM66"	NA	NA	NA
"ASV188"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Devosiaceae"	"Devosia"
"ASV189"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Hydrogenophaga"
"ASV190"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Chryseobacterium"
"ASV191"	"Bacteria"	"Chloroflexi"	NA	NA	NA	NA
"ASV192"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
"ASV193"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_Incertae_Sedis"	"Unknown_Family"	"Acidibacter"
"ASV194"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Neorhizobium"
"ASV195"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	NA	NA
"ASV196"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
"ASV197"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"
"ASV198"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"R7C24"	NA	NA
"ASV199"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"
"ASV200"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	NA
"ASV201"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	"Kouleothrix"
"ASV202"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	NA	NA
"ASV203"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	NA	NA
"ASV204"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Hydrogenophaga"
"ASV205"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	NA
"ASV206"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"S085"	NA	NA
"ASV207"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	NA
"ASV208"	"Bacteria"	"Chloroflexi"	"TK10"	NA	NA	NA
"ASV209"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"
"ASV210"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Phycicoccus"
"ASV211"	"Bacteria"	"Armatimonadetes"	"Chthonomonadetes"	"Chthonomonadales"	NA	NA
"ASV212"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	NA
"ASV213"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	NA
"ASV214"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"CCD24"	NA	NA
"ASV215"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"CCD24"	NA	NA
"ASV216"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
"ASV217"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Nitrosomonadaceae"	"Ellin6067"
"ASV218"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"
